,profile_type,weight,run,accuracy,average
27,Global,0.75,7,96.06126914660832,97.93581327498177
28,Global,0.75,8,97.95769511305616,97.93581327498177
29,Global,0.75,9,99.34354485776805,97.93581327498177
30,Global,1.0,0,97.59299781181619,97.93581327498177
31,Global,1.0,1,96.2800875273523,97.93581327498177
32,Global,1.0,2,98.6870897155361,97.93581327498177
33,Global,1.0,3,99.70824215900802,97.93581327498177
34,Global,1.0,4,98.32239241429613,97.93581327498177
35,Global,1.0,5,96.79066374908825,97.93581327498177
36,Global,1.0,6,97.5200583515682,97.93581327498177
37,Global,1.0,7,97.08242159008023,97.93581327498177
38,Global,1.0,8,98.61415025528811,97.93581327498177
39,Global,1.0,9,98.7600291757841,97.93581327498177
0,Global,0.25,0,97.66593727206418,97.25747629467541
1,Global,0.25,1,95.62363238512035,97.25747629467541
2,Global,0.25,2,99.70824215900802,97.25747629467541
3,Global,0.25,3,97.59299781181619,97.25747629467541
4,Global,0.25,4,97.95769511305616,97.25747629467541
5,Global,0.25,5,98.90590809628009,97.25747629467541
6,Global,0.25,6,96.06126914660832,97.25747629467541
7,Global,0.25,7,96.71772428884027,97.25747629467541
8,Global,0.25,8,98.61415025528811,97.25747629467541
9,Global,0.25,9,98.97884755652808,97.25747629467541
10,Global,0.5,0,98.39533187454413,97.25747629467541
11,Global,0.5,1,97.88475565280817,97.25747629467541
12,Global,0.5,2,98.17651349380014,97.25747629467541
13,Global,0.5,3,98.39533187454413,97.25747629467541
14,Global,0.5,4,98.24945295404814,97.25747629467541
15,Global,0.5,5,98.39533187454413,97.25747629467541
16,Global,0.5,6,98.97884755652808,97.25747629467541
17,Global,0.5,7,98.32239241429613,97.25747629467541
18,Global,0.5,8,98.97884755652808,97.25747629467541
19,Global,0.5,9,98.83296863603209,97.25747629467541
20,Global,0.75,0,97.4471188913202,97.25747629467541
21,Global,0.75,1,97.73887673231218,97.25747629467541
22,Global,0.75,2,98.10357403355215,97.25747629467541
23,Global,0.75,3,98.54121079504012,97.25747629467541
24,Global,0.75,4,98.32239241429613,97.25747629467541
25,Global,0.75,5,98.97884755652808,97.25747629467541
26,Global,0.75,6,97.08242159008023,97.25747629467541
27,Global,0.75,7,96.06126914660832,97.25747629467541
28,Global,0.75,8,97.95769511305616,97.25747629467541
29,Global,0.75,9,99.34354485776805,97.25747629467541
30,Global,1.0,0,97.59299781181619,97.25747629467541
